time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1742264455.05598497,0.01907229,13653,0.00248441,0.00000000,0,0.00000000,71106,71242,675,0.00248451
1742264455.15696001,0.01521096,13653,0.00097518,0.00000000,0,0.00000000,71242,71304,264,0.00255627
1742264455.25685000,0.01877352,13628,0.00258376,0.00000000,0,0.00000000,71304,71557,825,0.00288039
1742264455.35683894,0.01717270,13625,0.00222159,0.00000000,0,0.00000000,71557,71796,734,0.00252853
1742264455.45675802,0.01848260,13615,0.00234981,0.00000000,0,0.00000000,71796,72083,707,0.00247023
1742264455.55652905,0.01874753,13614,0.00255928,0.00000000,0,0.00000000,72083,72250,649,0.00246222
1742264455.65664411,0.01812919,13647,0.00189424,0.00000000,0,0.00000000,72250,72490,604,0.00246920
1742264455.75674701,0.01986516,13638,0.00213679,0.00000000,0,0.00000000,72490,72679,600,0.00246562
1742264455.85653210,0.01886982,13638,0.00152984,0.00000000,0,0.00000000,72679,72711,271,0.00250553
1742264455.95643902,0.01881472,13608,0.00245772,0.00000000,0,0.00000000,72711,72973,765,0.00245927
1742264456.05653811,0.01853057,13630,0.00211312,0.00000000,0,0.00000000,72973,73194,595,0.00247536
1742264456.15628195,0.01910283,13675,0.00214608,0.00000000,0,0.00000000,73194,73454,636,0.00252974
1742264456.25630689,0.02031785,13703,0.00261532,0.00000000,0,0.00000000,73454,73560,588,0.00248142
1742264456.35625601,0.01824121,13634,0.00205510,0.00000000,0,0.00000000,73560,73894,648,0.00247322
1742264456.45642996,0.01862688,13700,0.00234091,0.00000000,0,0.00000000,73894,74028,570,0.00247884
1742264456.55640006,0.01823863,13672,0.00212233,0.00000000,0,0.00000000,74028,74258,598,0.00268613
1742264456.65616298,0.01832234,13663,0.00194198,0.00000000,0,0.00000000,74258,74366,530,0.00249081
1742264456.75613403,0.01898922,13672,0.00189497,0.00000000,0,0.00000000,74366,74481,511,0.00247197
1742264456.85610294,0.01983403,13698,0.00193274,0.00000000,0,0.00000000,74481,74630,556,0.00251999
1742264456.95662498,0.01964377,13649,0.00219919,0.00000000,0,0.00000000,74630,74807,563,0.00286741
1742264457.05681801,0.02345650,13687,0.00225685,0.00000000,0,0.00000000,74807,74951,525,0.00250659
1742264457.15612888,0.02276600,13702,0.00222417,0.00000000,0,0.00000000,74951,75194,619,0.00251927
1742264457.25657201,0.02340822,13677,0.00257822,0.00000000,0,0.00000000,75194,75501,718,0.00253118
1742264457.35652208,0.02429700,13626,0.00335084,0.00000000,0,0.00000000,75501,75694,730,0.00319703
1742264457.45644593,0.02359237,13679,0.00266999,0.00000000,0,0.00000000,75694,75892,608,0.00252342
1742264457.55631304,0.02385805,13676,0.00232333,0.00000000,0,0.00000000,75892,76076,541,0.00337718
1742264457.65604091,0.02642845,13712,0.00285700,0.00000000,0,0.00000000,76076,76170,576,0.00303192
1742264457.75695395,0.02379587,13732,0.00273476,0.00000000,0,0.00000000,76170,76246,532,0.00295293
1742264457.85677099,0.02335581,13690,0.00218028,0.00000000,0,0.00000000,76246,76455,578,0.00277687
1742264457.95628905,0.02043551,13703,0.00226494,0.00000000,0,0.00000000,76455,76554,506,0.00277861
1742264458.05613995,0.02134086,13672,0.00240994,0.00000000,0,0.00000000,76554,76752,553,0.00281048
1742264458.15623403,0.01963720,13700,0.00197912,0.00000000,0,0.00000000,76752,76904,595,0.00343608
